Address,City,ZIP,Distance,TravelTime,Lat,Long
15121 Via Lomita, Monte Sereno, CA 95030 ,9099,1130,37.249575,-121.9882235
15121 Via Lomita, Monte Sereno, CA 95030 ,9099,1130,37.249575,-121.9882235
2238 Bellington Ct., San Jose, CA 95138 ,23976,2314,37.2947619,-121.784974
1385 Fisherhawk Dr., Sunnyvale, CA 94087 ,7416,695,37.3495293,-122.0227796
1243 Green Oak Ln., Los Altos, CA 94024 ,11681,769,37.3491128,-122.079292
1075 Yorkshire Dr., Los Altos, CA 94024 ,12015,795,37.342796,-122.084877
1075 Yorkshire Dr., Los Altos, CA 94024 ,12015,795,37.342796,-122.084877
18817 Bellgrove Cir., Saratoga, CA 95070 ,5838,762,37.2790293,-122.0041723
14403 Black Walnut Ct., Saratoga, CA 95070 ,8208,995,37.2590992,-122.0157496
2044 Finley Pl., Santa Clara, CA 95050 ,6313,866,37.3619787,-121.9609241
2044 Finley Pl., Santa Clara, CA 95050 ,6313,866,37.3619787,-121.9609241
43936 Pine Ct., Fremont, CA 94539 ,36506,2241,37.5175673,-121.9319282
1327 Dunnock Way, Sunnyvale, CA 94087 ,7785,742,37.3508998,-122.0249978
1254 Cobblestone Dr., Campbell, CA 95008 ,5965,866,37.2747044,-121.9721114
15077 Bel Estos Dr., San Jose, CA 95124 ,13913,1245,37.249582,-121.9340258
1254 Cobblestone Dr., Campbell, CA 95008 ,5965,866,37.2747044,-121.9721114
5482 Morningside Dr., San Jose, CA 95138 ,24911,2425,37.2696399,-121.7673199
5286 Kensington Way, San Jose, CA 95124 ,14572,1329,37.2418396,-121.9275517
738 Bucher Ave., Santa Clara, CA 95051 ,2757,465,37.3382701,-121.9706966
201 Bradbury Ln., Redwood City, CA 94061 ,33816,1710,37.464787,-122.2231756
19701 Somerville Ct., Saratoga, CA 95070 ,7603,917,37.2897825,-122.0174994
25 Jess Ct., Hollister, CA 95023 ,93225,5325,36.8132272,-121.3582422
1240 Chamberlin Ct., Campbell, CA 95008 ,6936,1007,37.26978,-121.972801
110 Leewood Ct., Los Gatos, CA 95032 ,14894,1344,37.2366917,-121.9303155
846 Lake McClure Rd., San Jose, CA 95123 ,20794,1800,37.2425399,-121.8649466
853 Markham Terr., Sunnyvale, CA 94086 ,11735,1112,37.3761283,-122.0407879
20752 Norada Ct., Saratoga, CA 95070 ,13490,1025,37.2896327,-122.0371562
581 San Rivera Terr., Sunnyvale, CA 94085 ,10462,1008,37.3876234,-122.0024233
43611 Greenhills Way, Fremont, CA 94539 ,36465,2249,37.5198322,-121.9376452
19358 Monte Vista Dr., Saratoga, CA 95070 ,9540,1091,37.2468698,-122.0116097
19358 Monte Vista Dr., Saratoga, CA 95070 ,9540,1091,37.2468698,-122.0116097
19501 Glen Una Dr., Saratoga, CA 95070 ,9581,1074,37.2452396,-122.0136717
1010 Del Cambre Dr., San Jose, CA 95129 ,2325,370,37.3084234,-121.9879226
1010 Del Cambre Dr., San Jose, CA 95129 ,2325,370,37.3084234,-121.9879226
20915 Hidden View Ln., Saratoga, CA 95070 ,10332,1266,37.2518281,-122.0399377
14486 Leland Cir., Saratoga, CA 95070 ,8776,1111,37.257806,-122.0052871
1815 Naglee Ave., San Jose, CA 95126 ,6552,773,37.329432,-121.9299391
11121 Magdalena Rd., Los Altos Hills, CA 94024 ,14908,742,37.3485176,-122.1167453
11121 Magdalena Rd., Los Altos Hills, CA 94024 ,14908,742,37.3485176,-122.1167453
19295 Citrus Ln., Saratoga, CA 95070 ,10566,1225,37.24165,-122.0100484
1285 Burrows Rd., Campbell, CA 95008 ,6570,899,37.2682008,-121.9724922
2337 Shadow Mist Ct., San Jose, CA 95138 ,23294,2212,37.2882768,-121.7679206
10831 Barrington Bridge Ct., Cupertino, CA 95014-6401 ,3922,540,37.3110483,-121.9965247
45671 Montclaire Ter., Fremont, CA 94539 ,28154,2094,37.5137905,-121.9149214
45671 Montclaire Ter., Fremont, CA 94539 ,28154,2094,37.5137905,-121.9149214
135 Waverly Pl., Mountain View, CA 94040 ,13044,870,37.3594243,-122.0757329
125 Mountain View Ave., Los Altos, CA 94024 ,16329,1055,37.3836614,-122.0906405
636 W. Remington Dr., Sunnyvale, CA 94087 ,9355,787,37.3591014,-122.0384078
21140 Grenola Dr., Cupertino, CA 95014 ,10701,726,37.3291857,-122.0444252
21140 Grenola Dr., Cupertino, CA 95014 ,10701,726,37.3291857,-122.0444252
15265 Via Pinto, Monte Sereno, CA 95030 ,15303,1261,37.2473994,-121.9834779
10495 Ann Arbor Ave., Cupertino, CA 95014 ,10721,734,37.3301318,-122.0454417
2080 Fordham Dr., Santa Clara, CA 95051 ,7510,768,37.3607573,-121.9881175
1705 Westbrook Ave., Los Altos, CA 94024 ,15385,838,37.348542,-122.0981892
850 Chatsworth Ln., Redwood City, CA 94061 ,33626,1678,37.4634781,-122.2205687
1490 Elwood Dr., Los Gatos, CA 95032 ,7706,974,37.2669721,-121.9895245
465 S. Murphy Ave., Sunnyvale, CA 94086 ,10369,1003,37.3715219,-122.0318949
2091 San Luis Ave. #5, Mountain View, CA 94043 ,19845,1017,37.4085637,-122.0931325
6530 Stonehill Ct., San Jose, CA 95120 ,24327,2025,37.2250445,-121.8502476
329 Costello Ct., Los Altos, CA 94024 ,15341,819,37.3613953,-122.107276
2072 Colusa Way, San Jose, CA 95130 ,4892,662,37.2839919,-121.9927965
227C Shelley Ave., Campbell, CA 95008 ,10539,961,37.2641642,-121.9448035
